Dataset,Model,Setting,Clean Accuracy,Surrogate Accuracy
Citeseer,SAGE,Random Mask,93.853,93.853
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.853,93.853
Citeseer,SAGE,Random Mask,93.853,93.853
Citeseer,SAGE,Random Mask,93.853,93.853
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.381,93.381
Citeseer,SAGE,Random Mask,93.853,93.853
Citeseer,SAGE,Random Mask,93.853,93.853
Citeseer,SAGE,Random Mask,93.853,93.853
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,81.618,81.618
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GAT,Random Mask,80.147,80.147
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.191,84.191
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,84.926,84.926
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
Cora,GCN,Random Mask,83.824,83.824
